Data Model Class             	Health Check Area              	SNOMED Code        	SNOWMED Name
QRisk2                       	QRISK score                    	810931000000108    	QRISK2 calculated heart age (observable entity)
QRisk2                       	QRISK score                    	718087004          	QRISK2 cardiovascular disease 10 year risk score (observable entity)
QRisk3                       	QRISK score                    	1325531000000100   	QRISK3 Healthy Heart Age (observable entity)
QRisk3                       	QRISK score                    	1085871000000100   	QRISK3 cardiovascular disease 10 year risk calculator score (observable entity)
FamilyHistory                	Family history CHD             	515741000000106    	Family history of myocardial infarction in first degree relative less than 60 years (situation)
BasicObs                     	Height                         	1153637007         	Body height (observable entity)
BasicObs                     	Weight                         	27113001           	Body weight (observable entity)
BasicObs                     	Body Mass Index                	60621009           	Body mass index (observable entity)
BasicObs                     	Waist                          	276361009          	Waist circumference (observable entity)
SmokingStatus                	Smoking Status                 	8517006            	Ex-smoker (finding)
SmokingStatus                	Smoking Status                 	56771006           	Heavy smoker (over 20 per day) (finding)
SmokingStatus                	Smoking Status                 	160605003          	Heavy cigarette smoker (20-39 cigs/day)
SmokingStatus                	Smoking Status                 	160606002          	Very heavy cigarette smoker (40+ cigs/day)
SmokingStatus                	Smoking Status                 	160603005          	Light cigarette smoker (1-9 cigs/day) (finding)
SmokingStatus                	Smoking Status                 	160604004          	Moderate cigarette smoker (10-19 cigs/day) (finding)
SmokingStatus                	Smoking Status                 	8392000            	Non-smoker
SmokingStatus                	Smoking Status                 	266919005          	Never smoked tobacco (finding)
Cholesterol                  	Total Cholesterol              	853681000000104    	Total cholesterol level (observable entity)
Cholesterol                  	Total Cholesterol              	853681000000104    	Serum total cholesterol level
Cholesterol                  	HDL                            	1005681000000100   	Serum high density lipoprotein cholesterol level (observable entity)
Cholesterol                  	Non-HDL                        	1030411000000100   	Non high density lipoprotein cholesterol level (observable entity)
Cholesterol                  	HDL/Chol ratio                 	1028551000000100   	Total cholesterol: high lipoprotein ratio (observable entity)
Sugar                        	Triglycerides                  	? 850991000000104  	? Triglyceride level (observable entity)
Sugar                        	Triglycerides                  	? 1026501000000104 	? Serum random triglyceride level (observable entity)
